query,top tables,target table,target answer
where was the last 10 summer olympic games held,Money in the Bank ladder match_7984B8973866CE1A,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Money in the Bank ladder match_917B93F66056FED1,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Invictus Games_885B095CF29FFD3C,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Money in the Bank ladder match_9DA838C9327B1A6A,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Money in the Bank ladder match_9D2546F1B935864A,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,2015 FIFA Women's World Cup_52737A79A4B569EB,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,List of people who have lit the Olympic cauldron_9487366C641C3EFE,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Speaker of the House of Representatives of the Philippines_75C95CFB319B7787,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,2024 Summer Olympics_14DE4ACA6C5F39B6,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,1980 Summer Olympics boycott_B19440D9549CDD83,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Los Angeles bid for the 2024 Summer Olympics_98640ABD08BDA10A,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Mahesh Bhupathi_8E2EDB96EAE28BFE,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,2028 Summer Olympics_98640ABD08BDA10A,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Doping at the Olympic Games_1E95EA5FDE6FBB38,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Ice hockey by country_A85EF91EB7290808,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Figure skating at the 2014 Winter Olympics – Ladies' singles_B4C77849C88A7AAF,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,London bid for the 2012 Summer Olympics_4F2B2D4E01328429,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Munich massacre_82C3B666AD401D4B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Nodar Kumaritashvili_1E95EA5FDE6FBB38,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Centennial Olympic Park bombing_7BE7CC6C3B18C0C8,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,400 metres at the Olympics_E33370C97B31899C,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Basketball at the Summer Olympics_FA8CFD91FBFB212B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Consejo Mundial de Lucha Libre_33DD616DA83E93F8,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,List of multi-sport events_21255F5A30D31DCC,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Nathan's Hot Dog Eating Contest_6965BBD84BB7D6E2,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Gabriel Jesus_426720D20B6261D4,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Gabriel Jesus_9E2D35D3B1CC566B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Olympic medal_23EC02153AC4F3F6,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,France at the Olympics_BB4AA9DCD9FEABB8,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Field hockey at the Summer Olympics_6B3333277E700A0D,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Pole vault at the Olympics_793E92A3F2251DE3,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Bids for Olympic Games_A4A883D6C70A7F64,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Football at the Summer Olympics_535E34AB26A6C73A,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Volleyball at the Summer Olympics_DF7FF509AC7606EE,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Water polo at the Summer Olympics_DF7FF509AC7606EE,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,111th United States Congress_F7B973EB7A920362,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Baseball at the Summer Olympics_9FAE8E0ABE78B832,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Basketball at the Summer Olympics_9FAE8E0ABE78B832,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Bowling at the Summer Olympics_8C1580F6F4483EB6,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Golf at the Summer Olympics_9FAE8E0ABE78B832,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Softball at the Summer Olympics_9FAE8E0ABE78B832,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Summer Olympic Games_8A040F48CE6F3D30,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,List of The Melancholy of Haruhi Suzumiya episodes_8299E3BDE25EB5C2,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Table tennis at the Summer Olympics_9FAE8E0ABE78B832,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Tug of war at the Summer Olympics_9FAE8E0ABE78B832,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Consejo Mundial de Lucha Libre_2905B023EBED60DD,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,National Hockey League All-Star Game_D024C6307A3D0443,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Summer Olympic Games_AECEB19BF1539E0B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Golf at the Summer Olympics_F5AAF0B07EEC4BCD,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,All-time Olympic Games medal table_C020C5C067EF0CBB,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Ancient Olympic Games_E8C2480DA50AC991,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Winter Olympic Games_E8C2480DA50AC991,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Olympic medal_7EC0F4DB6EDC11BD,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Summer Olympic Games_AA4B479E761B303B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Winter Olympic Games_8A040F48CE6F3D30,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Winter Olympic Games_39F337246A23CBA4,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,2026 Winter Olympics_5CC1CACE1B0F7EF4,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Olympic Games_7CED2BA5D907F130,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Golf at the Summer Olympics_6A37AB834231C727,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,List of multiple Winter Olympic medalists_262F7AC4894F8E23,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Los Angeles bid for the 2024 Summer Olympics_AEE8A90822FF7037,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Commonwealth Games_7CED2BA5D907F130,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Nordic Games_7CED2BA5D907F130,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,North American Indigenous Games_7CED2BA5D907F130,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Softball at the Summer Olympics_D8C6504FBA26B906,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,List of multiple Olympic medalists_E3B0524CB3E3D530,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Centennial Olympic Stadium_4A55188CB27E9F99,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,List of multiple Winter Olympic medalists_E3B0524CB3E3D530,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Paralympic Games_7D7F0CAD28501DD0,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Invictus Games_46C900D0351CED0D,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,List of multi-sport events_7D7F0CAD28501DD0,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Winter Paralympic Games_3089E9807356826E,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,National Games of Nepal_3089E9807356826E,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Winter Olympic Games_8ABCE6A2B329B22,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Summer Olympic Games_E97F151CF888C616,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Baseball at the Summer Olympics_EAE92F86CD698472,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,America's Got Talent (season 7)_FC1D146E2BB2584B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Olympic Games_7542F957D4C7BCD1,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Summer Olympic Games_180D990D99CEEB2C,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Ice hockey by country_E1F2C8B600A9BABA,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Golf at the Summer Olympics_8C221EE7E2ED3FE0,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,China at the Olympics_AA4B479E761B303B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Greece at the Olympics_AA4B479E761B303B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Japan at the Olympics_AA4B479E761B303B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Pakistan at the Olympics_AA4B479E761B303B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Russia at the Olympics_AA4B479E761B303B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Spain at the Olympics_AA4B479E761B303B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Canada at the Winter Olympics_AA4B479E761B303B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,North Korea at the Olympics_AA4B479E761B303B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,South Korea at the Olympics_AA4B479E761B303B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,India at the Olympics_8ABCE6A2B329B22,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Canada at the Olympics_7542F957D4C7BCD1,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,China at the Olympics_7542F957D4C7BCD1,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,India at the Olympics_7542F957D4C7BCD1,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Great Britain at the Olympics_7542F957D4C7BCD1,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,North Korea at the Olympics_7542F957D4C7BCD1,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,South Korea at the Olympics_7542F957D4C7BCD1,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,United States at the Olympics_7542F957D4C7BCD1,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Marjorie Gestring_353973602CC9DE25,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Water polo at the Summer Olympics_7E7B75E6CD5E99F3,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Table tennis at the Summer Olympics_F7AA4572BACFA746,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,2012 Summer Olympics medal table_73E41993CCA877F0,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
