query,top tables,target table,target answer
who starred in the film walk the line,Titanic (1997 film)_966419A742D031C7,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Rupert Friend_F92482BFA43AACF6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,La La Land (film)_86DE8723B3AA5F02,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Great Balls of Fire! (film)_E9C17773727C9F10,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Dreamgirls (film)_967E4B4594E63FD6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,I Walk the Line_ACFC50C3CBCD5B88,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Tennessee Flat Top Box_D3C83662515CA360,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,If I Had a Hammer_D3C83662515CA360,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Traffic (2000 film)_967E4B4594E63FD6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Dark as a Dungeon_5670B8152899B57D,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Miracle (2004 film)_F940E343EC855C4E,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Don't Take Your Guns to Town_4C1E01162CCDEAFE,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,God's Gonna Cut You Down_D3C83662515CA360,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,One Piece at a Time_F9B89ED408FB12D9,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,(Ghost) Riders in the Sky: A Cowboy Legend_D3C83662515CA360,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,"Green, Green Grass of Home_5670B8152899B57D",Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,If I Were a Carpenter (song)_CEF9B82629E186DA,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Anyone Who Had a Heart (song)_77D5E88689FE0885,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Ring of Fire (song)_5670B8152899B57D,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Hurt (Nine Inch Nails song)_5670B8152899B57D,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,(Ghost) Riders in the Sky: A Cowboy Legend_5670B8152899B57D,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,12 Years a Slave (film)_967E4B4594E63FD6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,My Big Fat Greek Wedding_505BD943DD908172,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,"Three Billboards Outside Ebbing, Missouri_505BD943DD908172",Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Departed_967E4B4594E63FD6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Ones Who Walk Away from Omelas_BA764D365CBF7EBC,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Social Network_967E4B4594E63FD6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Mutiny on the Bounty (1962 film)_9A8B1A118DD27FB8,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Shakespeare in Love_967E4B4594E63FD6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Moulin Rouge!_86DE8723B3AA5F02,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,78th Academy Awards_E1B0505996C6CEE,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,As Good as It Gets_86DE8723B3AA5F02,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Slumdog Millionaire_967E4B4594E63FD6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Walk the Line (soundtrack)_CF51C15F0DF3A682,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Silver Linings Playbook_967E4B4594E63FD6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Walk the Line (soundtrack)_FB500C29A60E28D9,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Philippe Petit_5C8BAE205A070F16,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Walk the Line_EBA13CB7F4D68621,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,When You Walk in the Room_8EC3DC23AFEECEEF,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Ones Who Walk Away from Omelas_47503457F77E8B1B,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Graduate_666E4FA4DF520BE7,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Dan Stevens_5F09DA9CDE2923DE,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Bernard Hill_5C4EF0F8E3121C3F,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Jonathan Pryce_E83F66E45DA3231E,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Annie (1982 film)_A0813800B0DD8EB5,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Who Do You Think You Are? (UK TV series)_89A98262D0B8F7CF,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Night of the Iguana (film)_A0813800B0DD8EB5,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Casino Royale (1967 film)_A0813800B0DD8EB5,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Maltese Falcon (1941 film)_A0813800B0DD8EB5,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Treasure of the Sierra Madre (film)_5243E3AA9DE293A4,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Fragile X syndrome_E5C2A1BBD4C5E5C1,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Walk the Line (soundtrack)_EE6C563C771B596B,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Autism_6CD209E4A105E0B3,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Curious Incident of the Dog in the Night-Time_4C07A97DF65E29E6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Mutiny on the Bounty (1962 film)_EE74A1B5B5998DB2,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,All Quiet on the Western Front (1930 film)_EE74A1B5B5998DB2,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Prospero's Books_538C427DAE5C741D,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,EastEnders_44D21C5580CD6C96,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Emmerdale_44D21C5580CD6C96,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Coronation Street_44D21C5580CD6C96,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Walk the Line (soundtrack)_75DAFA8821DC5644,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Commanders of World War II_30C3AEE596503FB8,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,I Walk the Line_A3E06B8951667B97,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Belle and Sebastian_CD11E66E8B9C1B02,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Twice Upon a Time (Doctor Who)_462BD615252C3CD2,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Graduate_F16B4E7D28D4C47,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Archers_72694D46EB062376,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Bill_72694D46EB062376,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Girl with the Dragon Tattoo (2011 film)_20D3D9D4DDF9B07F,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Take the High Road characters_71E940791FBE9744,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Holby City_72694D46EB062376,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Soap opera_72694D46EB062376,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Evita (1996 film)_29B0B638BC55FBCF,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Who Do You Think You Are? (UK TV series)_5808929BDE2BEBB4,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Jonathan Pryce_D83BF32D5550C7C0,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Time of the Doctor_3559C988734347A0,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Day of the Doctor_5F425C52F202CD4C,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Blackgang Chine_D3140185B34979E0,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Only Daddy That'll Walk the Line_18066E39E65C4D9B,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,A Walk to Remember_BE0D273ECC48DC7,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,A Walk Among the Tombstones (film)_7F4A5D2B937BE977,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Last Song (film)_CEF92E5E99F52A9E,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Longest Ride (film)_BE0D273ECC48DC7,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Best of Me (film)_BE0D273ECC48DC7,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Orlando Bloom_23B5ED5E00156567,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,A Walk to Remember (novel)_CEF92E5E99F52A9E,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,In the Mood_E9C17773727C9F10,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Safe Haven (film)_BE0D273ECC48DC7,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Traffic (2000 film)_AF606757531EA1CA,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Dear John (2010 film)_BE0D273ECC48DC7,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Walk This Way_D549F9FB8F37D65C,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Tawny Kitaen_AF0DE8F8EDAEBF17,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Jack Haley_8B6797BEA38C7867,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,List of Presidents of the United States who died in office_8D68046B472B6C4,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Walk the Prank_F274F92A6BCD46C9,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Tommy (1975 film)_95CF9EA7B2D30B12,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Over the Rainbow_65A55EA99CDAE82F,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Thinner (film)_25B4FB35A0E1218A,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Sound of Music (film)_B93F43A64456A5A0,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Man Who Invented Christmas (film)_3F07296435584FDD,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Brighton hotel bombing_44820EA0E2A8A1AB,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Joe Lando_63E3D32BA806EBB3,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Pirates of the Caribbean: The Curse of the Black Pearl (soundtrack)_D7CE04B4ABE15EDC,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,A Walk Among the Tombstones (film)_DCF8C2DBFAACB743,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,List of awards and nominations received by Katharine Hepburn_9357EF1F86FB9871,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,List of actors who have played Sherlock Holmes_D7445B0CB1B269E0,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,List of historical period drama films and series set in Near Eastern and Western civilization_AEF10CD35200B7C3,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
